"67","X {rapprocher/recueillir} DET Y","TYPE DE LIAISONS","Rapprochement","attente en apportant un soin particulier au respect des horaires. Toutefois, il existe des imprévus qui peuvent désorganiser le planning et prolonger votre attente. Un manipulateur de radiologie recueille la lettre de votre médecin et vos précédents examens radiologiques mammaires. Il vous explique le déroulement de l'examen. ","Non","manipulateur de radiologie : humain : recueille la lettre, c'est-à-dire, prend la lettre. Pas de lien de méronymie.","FR/Cancer du sein/Vulgarisation/page18","recueille","",""
"68","X {rapprocher/recueillir} DET Y","TYPE DE LIAISON","Rapprochement","attente en apportant un soin particulier au respect des horaires. Toutefois, il existe des imprévus qui peuvent désorganiser le planning et prolonger votre attente. Un manipulateur de radiologie recueille la lettre de votre médecin et vos anciennes mammographies. ","Non","manipulateur de radiologie : humain : recueille la lettre, c'est-à-dire, prend la lettre. Pas de lien de méronymie.","FR/Cancer du sein/Vulgarisation/page19","recueille","",""
"69","X {rapprocher/recueillir} DET Y","TYPE DE LIAISONS","Rapprochement"," Toutefois, il existe des imprévus qui peuvent désorganiser le planning et prolonger votre attente. Un manipulateur de radiologie recueille ensuite la lettre de votre chirurgien et vos examens radiologiques mammaires. Il nettoie la peau du sein tout en vous expliquant le","Non","manipulateur de radiologie : humain : recueille la lettre, c'est-à-dire, prend la lettre. Pas de lien de méronymie.","FR/Cancer du sein/Vulgarisation/page20","recueille","",""
"70","X {rapprocher/recueillir} DET Y","TYPE DE LIAISON","Rapprochement"," Apportez toutes vos mammographies et vos autres documents radiologiques mammaires et vos autres documents radiologiques mammaires Un manipulateur de radiologie recueille la lettre de votre médecin et vos anciennes mammographies (échographie, IRM), ainsi que les résultats d'examens concernant","Non","manipulateur de radiologie : humain : recueille la lettre, c'est-à-dire, prend la lettre. Pas de lien de méronymie.","FR/Cancer du sein/Vulgarisation/page21","recueille","",""
"71","X {rapprocher/recueillir} DET Y","TYPE DE LIAISON","Rapprochement","Toutefois, il existe des imprévus qui peuvent désorganiser le planning et prolonger votre attente. Un manipulateur de radiologie recueille la lettre de votre médecin et vos anciennes mammographies. ","Non","manipulateur de radiologie : humain : recueille la lettre, c'est-à-dire, prend la lettre. Pas de lien de méronymie.","FR/Cancer du sein/Vulgarisation/page21","recueille","",""
"72","X {rapprocher/recueillir} DET Y","TYPE DE LIAISON","Rapprochement","Toutefois, il existe des imprévus qui peuvent désorganiser le planning et prolonger votre attente. Un manipulateur de radiologie recueille la lettre de votre médecin et vos examens radiologiques mammaires. Il vous explique le déroulement de l'examen. ","Non","manipulateur de radiologie : humain : recueille la lettre, c'est-à-dire, prend la lettre. Pas de lien de méronymie.","FR/Cancer du sein/Vulgarisation/page37","recueille","",""
"73","X {rapprocher/recueillir} DET Y","TYPE DE LIAISON","Rapprochement","Toutefois, il existe des imprévus qui peuvent désorganiser le planning et prolonger votre attente. Un manipulateur de radiologie recueille ensuite la lettre de votre chirurgien et vos examens radiologiques mammaires. ","Non","manipulateur de radiologie : humain : recueille la lettre, c'est-à-dire, prend la lettre. Pas de lien de méronymie.","FR/Cancer du sein/Vulgarisation/page38","recueille","",""
"74","X {rapprocher/recueillir} DET Y","Type de liaison","Rapprochement","Toutefois, il existe des imprévus qui peuvent désorganiser le planning et prolonger votre attente. Un manipulateur de radiologie recueille la lettre de votre médecin et vos examens radiologiques mammaires. Il vous explique le déroulement de l'examen.","Non","manipulateur de radiologie : humain : recueille la lettre, c'est-à-dire, prend la lettre. Pas de lien de méronymie.","FR/Cancer du sein/Vulgarisation/page39","recueille","",""
"75","X {rapprocher/recueillir} DET Y","type de liaison","Rapprochement","Toutefois, il existe des imprévus qui peuvent désorganiser le planning et prolonger votre attente. Un manipulateur de radiologie recueille la lettre de votre médecin, vos anciennes mammographies et vous installe dans la salle d'examen.","Non","manipulateur de radiologie : humain : recueille la lettre, c'est-à-dire, prend la lettre. Pas de lien de méronymie.","FR/Cancer du sein/Vulgarisation/page40","recueille","",""
"76","X {rapprocher/recueillir} DET Y","type de liaison","Rapprochement","Toutefois, il existe des imprévus qui peuvent désorganiser le planning et prolonger votre attente. Un manipulateur de radiologie recueille la lettre de votre médecin et vos anciennes mammographies.","Non","manipulateur de radiologie : humain : recueille la lettre, c'est-à-dire, prend la lettre. Pas de lien de méronymie.","FR/Cancer du sein/Vulgarisation/page41","recueille","",""
"77"," Y {rapproché/recueilli} {sur/en/dans/vers} DET X","Type de liaison","Rapprochement","du C02 (75 % des gaz secs) et de l’H2S (2 à 4 % des gaz secs - Le Guern, 1972). Les liquides recueillis sur les évents marins, de composition assez constante, présentent une salinité de l’ordre de 35 g / l et un rapport Cl / Na égal à 1, 83 qui démontrent la participation d’eau de mer (salinité de 43 g / l) au circuit hydrothermal.","Oui","CT ?","FR/Volcan/Scientifique/23","recueillis sur les évents","liquides","évents marins"
"78"," Y {rapproché/recueilli} {sur/en/dans/vers} DET X","Type de liaison","Rapprochement","susceptible de renfermer un corps volatil (ici on utilise l’ether sulfurique) qui, en s’évaporant, assure son rapide refroidissement. L’eau de condensation est recueillie dans un flacon de polyéthylène. Le système est relié à une pompe péristaltique qui permet de condenser un volume appréciable de gaz","Oui","CT ?Lien contenant - contenu ?","FR/Volcan/Scientifique/32","recueillie dans un flacon","flacon de polyéthylène","eau de condensation"
"79"," Y {rapproché/recueilli} {sur/en/dans/vers} DET X","Type de liaison","Rapprochement","+ 1. 200 ans BP pour SVl, 22. 300 + 1. 200 ans BP pour SV2. Il s’agit donc de deux éruptions importantes très rapprochées dans le temps . Elles suivent toutes les deux un même scénario éruptif : elles débutent par une phase d’émission ponceuse homogène","Non","pas de lien de méronymie. Mot ""temps""  : dans le temps","FR/Volcan/Scientifique/38","rapprochées dans le temps","",""
"80"," Y {rapproché/recueilli} {sur/en/dans/vers} DET X","Type de liaison","Rapprochement","Pas de place pour l'homme. De Reykjavik, mon ami Gudmundur Sigvaldason me parle des premières analyses faites à partir d'une poignée de cendres recueillies sur le glacier au début de l'éruption. Un magma très évolué, peu commun dans ce genre d'activité en Islande","Oui","CT","FR/Volcan/Vulgarisation/corpusFR","recueillies sur le glacier","cendres","glacier"
"81","Y se {agglomérer/agglutiner/conglomérer} {dans/en/pour former/pour constituer/donner} (DET) X","type de liaison","Réunion compacte","Les bulles s'agglomèrent en mousse sous le toit pour s'organiser en poche de gaz et se libérer brusquement au bout d'un temps qui varie avec le débit d'azote, la viscosité et la tension superficielle du simili magma.","Oui","bulles / mousse : candidats-termes","FR/Volcan/Vulgarisation/corpusFR","s'agglomèrent en","bulles","mousse"
"82","X {attacher/joindre/lier/relier} DET Y","TYPE DE LIAISON","Jonction","l’intérêt pronostique de la réponse complète histologique, à la fois sur le contrôle local et sur la survie globale. * – Sur le contrôle local, plusieurs études relient la réponse anatomopathologique obtenue en fin de chimiothérapie néoadjuvante et les rechutes locales : les patientes en RCH présentent moins de rechutes","Non","un élément du LST ? Mais réponse anatomopathologique : candidat-terme. Relier qch et qch d'autre. analyses","FR/Cancer du sein/Scientifique/page10","études relient la réponse","",""
"83","X {attacher/joindre/lier/relier} DET Y","TYPE DE LIAISON","Jonction","On ne peut déterminer d’une manière simple la profondeur de l’explosion, dont les produits s’échappent par une fissure, la cohésion du dôme empêchant la formation d’un cratère (on a proposé pour un cratère une relation liant la profondeur du foyer au diamètre, qui ne peut être appliquée ici).","Plutôt non","relation ? Profondeur du foyer et diamètre du foyer : candidat-termes ? Ces deux éléments sont des parties de la relation ?","FR/Volcan/Scientifique/12","relation liant la profondeur","profondeur du foyer et diamètre du foyer","relation"
"84","X {attacher/joindre/lier/relier} DET Y","TYPE DE LIAISON","Jonction","rentrons à la cabane phonolite les sacs à dos remplis d'échantillons. Le cinquième jour nous avons fixé notre premier rendez-vous au "" halage des naufragés "", petit isthme reliant les presqu' îles de Ronarc'h et de Jeanne d'Arc. Nous y sommes de bonne heure. Bientôt nous voyons","Plutôt oui","isthme : candidat-terme ?","FR/Volcan/Vulgarisation/corpusFR","isthme reliant les presqu'","presqu'iles de Ronarc'h et de Jeanne d'Arc","isthme"
"85","X {attacher/joindre/lier/relier} DET Y","TYPE DE LIAISON","Jonction","Martinique) de notre envoyé spécial "" Fer feu parole / Liberté liberté liberté Je te donne ma parole / Nous brisons le fer / Le fer nous nourrit La parole monte la pente / Le fer fend la pente / Le feu jette ton ombre Volcan de parole / De parole / De","Non","imagé. Dans chanson/poème","FR/Volcan/Vulgarisation/corpusFR","parole monte la pente","",""
"86","X {attacher/joindre/lier/relier} DET Y","TYPE DE LIAISON","Jonction"," CHEMINEE, Conduit reliant le réservoir magmatique et la surface, par lequel transite le magma lors d'une éruption. COLLISION, Convergence de deux","Oui","dans définition. Deux candidats-termes","FR/Volcan/Vulgarisation/corpusFR","Conduit reliant le réservoir","réservoir magmatique / surface","Conduit"
"87","{attacher/joindre/lier/relier} DET Y {à/au/aux/avec} (DET) X","Type de Liaison","Jonction","Une perfusion est une poche de plastique remplie de liquide et placée en hauteur pour que le liquide coule dans un tube de plastique fin et flexible (ou tubulure) qui relie la poche à l’aiguille de la veine du bras. Les médicaments de chimiothérapie sont soit dilués dans le liquide de la poche,","Oui ","il faudrait un troisième élément dans le patron ?","FR/Cancer du sein/Vulgarisation/page56","relie la poche à l’aiguille","aiguille de la veine du bras. Mais aussi tube/tubulure","perfusion / poche"
"88","{attacher/joindre/lier/relier} DET Y {à/au/aux/avec} (DET) X","Type de Liaison","Jonction","Les cathéters extériorisés à la peau Ils ont leur extrémité qui ressort à travers la peau, par une petite incision généralement située sous la clavicule, l’os qui relie le sternum à l’épaule . Ils sont installés sous anesthésie locale. On pose la perfusion directement dans l’extrémité du tube du cathéter","Oui ","et clavicule ?","FR/Cancer du sein/Vulgarisation/page56","relie le sternum à l’épaule","sternum","épaule"
"89","{attacher/joindre/lier/relier} DET Y {à/au/aux/avec} (DET) X","Type de Liaison","Jonction","La pilule augmente-t-elle les risques ? Il est désormais acquis que la pilule n'augmente pas globalement le risque de cancer du sein. De même, les rumeurs qui lient le cancer du sein à la pratique des seins nus, à la réception d'un coup violent sur la poitrine ou au port du soutien-gorge à","Non","pas lien de méronymie","FR/Cancer du sein/Vulgarisation/page6","lient le cancer du sein à la pratique","",""
"90","{attacher/joindre/lier/relier} DET Y {à/au/aux/avec} (DET) X","Type de Liaison","Jonction","explosion, dont les produits s’échappent par une fissure, la cohésion du dôme empêchant la formation d’un cratère (on a proposé pour un cratère une relation liant la profondeur du foyer au diamètre , qui ne peut être appliquée ici). La connaissance précise du profil thermique en profondeur serait précieuse ainsi","Non","","FR/Volcan/Scientifique/12","liant la profondeur du foyer au diamètre","",""
"91","{attacher/joindre/lier/relier} DET Y {à/au/aux/avec} (DET) X","Type de Liaison","Jonction","et le 3 juin 1982 (tephras compactés). Les principales observations sont résumées dans quatre colonnes stratigraphiques sélectionnées (Fig. 5). Un tableau permet de relier schématiquement les observations de terrain avec la chronologie des événements majeurs (Tableau 1). Pour simplifier le tableau, les colonnes ne sont pas à l’","Non","lien d'explication ?","FR/Volcan/Scientifique/39","relier schématiquement les observations de terrain avec la chronologie","",""
